"chemIndex","porosity","sampleNum","freq","amp","strain","stresskpa","cycleLet","cycleNum","stiffness","stiffFrac","damping","dampFrac","nonlinear","strainRate"
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"G",7000,0.977595231799392,1.01706511627131,-6.06056472331606,0.879222573408192,1.50587365413566,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"H",8000,0.979189652744049,1.01872391110859,-6.06121558056791,0.87656551906488,1.51158718513432,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"I",9000,0.978998626891264,1.0185251726892,-6.06172217155489,0.874497956435231,1.51026908511345,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"J",10000,0.979396281783158,1.01893888268461,-6.06212934627117,0.872836485870253,1.51219250952853,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"K",12500,0.983099422467018,1.0227915356924,-6.06292754910464,0.869580312315298,1.51701175629209,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"L",15000,0.984688173809732,1.0244444320206,-6.06368449356968,0.866493522392073,1.5195319768519,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"M",17500,0.986539738611989,1.02637075276116,-6.06430216608251,0.863975450552811,1.52422743120884,0.0384984785638747
"100","71","126",0.4,0.0240615491024217,-0.291335519171991,-99.9611845602082,"N",20000,0.986110735526723,1.02592442890585,-6.06488880270165,0.861584543688006,1.52530796981135,0.0384984785638747
"100","71","154",0.5,0.0244461006438513,-0.692916031833795,-111.277833807904,"A",0,1.15313470676932,1,3.39615492050701,1,1.41809581437954,0.0488922012877026
"100","71","154",0.5,0.0244461006438513,-0.692916031833795,-111.277833807904,"B",250,1.12993588821457,0.979881952716744,-2.8955068631038,0.965294222319829,1.43951906036664,0.0488922012877026
"100","71","154",0.5,0.0244461006438513,-0.692916031833795,-111.277833807904,"C",500,1.12871893528422,0.978826609465684,-2.89887887481092,0.951529311621309,1.44094623812123,0.0488922012877026
"100","71","154",0.5,0.0244461006438513,-0.692916031833795,-111.277833807904,"D",750,1.13336693290436,0.982857359379687,-2.90222054494359,0.937910915884705,1.53637613432479,0.0488922012877026
